number,company,symbol,ytd_return
358,Starbucks,SBUX,-5.31
359,Elevance Health,ELV,-5.46
360,Waters Corporation,WAT,-5.58
361,Synopsys,SNPS,-5.81
362,Dayforce,DAY,-5.89
363,PNC Financial Services,PNC,-5.92
364,Blackstone Inc.,BX,-6.27
365,Pfizer,PFE,-6.58
366,Halliburton,HAL,-6.94
367,Norwegian Cruise Line Holdings,NCLH,-7.02
368,Honeywell,HON,-7.48
369,Progressive Corporation,PGR,-7.50
370,W. W. Grainger,GWW,-7.59
371,Henry Schein,HSIC,-7.62
372,Packaging Corporation of America,PKG,-7.63
373,Dover Corporation,DOV,-7.69
374,T. Rowe Price,TROW,-7.76
375,Omnicom Group,OMC,-7.95
376,Kimberly-Clark,KMB,-8.01
377,"Block, Inc.",XYZ,-8.35
378,Healthpeak Properties,DOC,-8.46
379,Essex Property Trust,ESS,-8.49
380,Paychex,PAYX,-8.52
381,Coterra,CTRA,-8.71
382,Tyson Foods,TSN,-8.82
383,"Nike, Inc.",NKE,-9.34
384,Lennox International,LII,-9.47
385,Procter & Gamble,PG,-9.53
386,MSCI,MSCI,-9.66
387,Ameriprise Financial,AMP,-9.91
388,CDW,CDW,-9.95
389,Tyler Technologies,TYL,-9.97
390,Invitation Homes,INVH,-10.15
391,Fortinet,FTNT,-10.18
392,Zoetis,ZTS,-10.26
393,Ball Corporation,BALL,-10.31
394,Jack Henry & Associates,JKHY,-10.39
395,Federal Realty Investment Trust,FRT,-10.45
396,Dexcom,DXCM,-10.45
397,Marsh McLennan,MMC,-10.72
398,Equifax,EFX,-10.77
399,Cognizant,CTSH,-10.78
400,Camden Property Trust,CPT,-10.91
401,ServiceNow,NOW,-11.24
402,Intuitive Surgical,ISRG,-11.25
403,Pool Corporation,POOL,-11.42
404,Bio-Techne,TECH,-11.43
405,International Paper,IP,-11.52
406,Stanley Black & Decker,SWK,-11.68
407,Fortive,FTV,-11.74
408,Ingersoll Rand,IR,-11.81
409,Air Products,APD,-11.95
410,Builders FirstSource,BLDR,-12.10
411,McCormick & Company,MKC,-12.20
412,Merck & Co.,MRK,-12.28
413,Carrier Global,CARR,-12.36
414,Equity Residential,EQR,-12.52
415,Schlumberger,SLB,-12.64
416,PPG Industries,PPG,-12.70
417,Avery Dennison,AVY,-12.70
418,Equinix,EQIX,-12.75
419,ConocoPhillips,COP,-12.78
420,ON Semiconductor,ON,-13.06
